Computed reward for each iterations     &    depth of the search
00852     0.7837     2
00853     0.8198     2
00854     0.8227     2
00855     0.8650     2
00856     0.6380     1
00857     0.9869     1
00858     0.6299     1
00859     0.8231     2
00860     0.7468     2
00861     0.8974     2
00862     0.8590     2
00863     0.9375     2
00864     0.9184     2
00865     0.9589     2
00866     0.8473     2
00867     0.8391     2
00868     0.9791     2
00869     0.8231     2
00870     0.8003     2
00871     0.9632     2
00872     0.8506     2
00873     0.6461     1
00874     0.8316     2
00875     0.9639     2
00876     0.7632     2
00877     0.9545     2
00878     0.8391     2
00879     0.9264     2
00880     0.9614     2
00881     0.8458     2
00882     0.9487     2
00883     0.7933     2
00884     0.7500     2
00885     0.9920     2
00886     0.8133     2
00887     0.9696     2
00888     0.7633     2
00889     0.7837     2
00890     0.8384     2
00891     0.8377     2
00892     0.9425     2
00893     0.9549     2
00894     0.9424     2
00895     0.8494     2
00896     0.9211     2
00897     0.8429     2
00898     0.6039     1
00899     0.7520     2
00900     0.7885     2
00901     0.8325     1
00902     0.8214     2
00903     0.8937     2
00904     0.7292     1
00905     0.8846     2
00906     0.7616     2
00907     0.9147     2
00908     0.8438     2
00909     0.8808     2
00910     0.8588     2
00911     0.8050     2
00912     0.7681     2
00913     0.9504     2
00914     0.8045     2
00915     0.8860     2
00916     0.9840     2
00917     0.7825     2
00918     0.8210     2
00919     0.7028     1
00920     0.8391     1
00921     0.8768     2
00922     0.7504     2
00923     0.9740     3
00924     0.8928     3
00925     1.0000     2
00926     0.7584     2
00927     0.9935     3
00928     0.8879     3
00929     0.8149     2
00930     0.8391     1
00931     0.7978     2
00932     0.7952     2
00933     0.9615     3
00934     0.9359     3
00935     0.9302     3
00936     0.9544     2
00937     0.9423     2
00938     0.8391     1
00939     0.9726     3
00940     0.7920     2
00941     0.9340     3
00942     0.8148     2
00943     0.9497     3
00944     0.8391     1
00945     0.5529     1
00946     0.9692     1
00947     0.7241     1
00948     0.7300     1
00949     0.9448     3
00950     0.9710     3
00951     0.9517     3
00952     0.9275     2
00953     0.9302     3
00954     0.9544     2
00955     0.7567     2
00956     0.8180     2
00957     0.8391     1
00958     0.9423     3
00959     0.9544     2
00960     0.9967     3
00961     0.9544     2
00962     0.8391     1
00963     0.9792     3
00964     0.7565     2
00965     0.9533     3
00966     0.8221     2
00967     0.6800     1
00968     0.9635     2
00969     0.9791     3
00970     0.9635     2
00971     0.9888     3
00972     0.9692     3
00973     0.9635     2
00974     0.8391     1
00975     0.8960     2
00976     0.9544     2
00977     0.9615     3
00978     0.9544     2
00979     0.9920     3
00980     0.8062     2
00981     0.8446     3
00982     0.9544     2
00983     0.8391     1
00984     0.8391     2
00985     0.8814     3
00986     0.9635     2
00987     0.7794     2
00988     0.9544     2
00989     0.9372     3
00990     0.8285     2
00991     0.9544     2
00992     0.8391     1
00993     0.9635     2
00994     0.9296     3
00995     0.8391     1
00996     0.9808     3
00997     0.8019     2
00998     0.9635     2
00999     0.8101     2
01000     0.9544     2
01001     0.9675     3
01002     0.9544     2
01003     0.7907     2
01004     0.9870     3
01005     0.9635     2
01006     0.9950     3
01007     0.9635     2
01008     1.0000     3
01009     0.9635     2
01010     0.8391     1
01011     0.8448     2
01012     0.9824     3
01013     0.9635     2
01014     0.9742     3
01015     0.9635     2
01016     0.7685     2
01017     0.9408     3
01018     0.9544     2
01019     0.8391     1
01020     0.9081     3
01021     0.9635     2
01022     0.8926     2
01023     0.8391     1
01024     0.9440     3
01025     0.9544     2
01026     0.8391     2
01027     0.9670     3
01028     0.9635     2
01029     0.9854     3
01030     0.9635     2
01031     0.8391     2
01032     0.9270     3
01033     0.9376     3
01034     0.9544     2
01035     0.9544     2
01036     0.8164     2
01037     0.9635     2
01038     0.9904     3
01039     0.8391     1
01040     0.9392     1
01041     0.8637     1
01042     0.7520     1
01043     0.9513     1
01044     0.5894     1
01045     0.8210     2
01046     0.7451     1
01047     0.8391     1
01048     0.9635     2
01049     0.9655     3
01050     0.9635     2
01051     0.8391     2
01052     0.9659     3
01053     0.9183     3
01054     0.8391     2
01055     1.0000     3
01056     0.9635     2
01057     0.9253     3
01058     0.9635     2
01059     0.8391     1
01060     0.9672     3
01061     0.8267     2
01062     0.6667     1
01063     0.9544     2
01064     0.9544     2
01065     0.9199     3
01066     0.8512     2
01067     0.9635     2
01068     0.9474     3
01069     0.8391     2
01070     0.8391     1
01071     0.9635     2
01072     0.9655     3
01073     0.9469     3
01074     0.8391     1
01075     0.9391     3
01076     0.8950     2
01077     0.9544     2
01078     0.9245     3
01079     0.8391     2
01080     0.9951     3
01081     0.9824     3
01082     0.9631     3
01083     0.8391     2
01084     0.7857     1
01085     0.8967     1
01086     0.6876     1
01087     0.9117     1
01088     0.7700     1
01089     0.8778     1
01090     0.9328     1
01091     0.7727     1
01092     0.9167     1
01093     0.8606     1
01094     0.7456     1
01095     0.7997     1
01096     0.8615     1
01097     0.7947     1
01098     0.9904     1
01099     0.9376     1
01100     0.8669     1
01101     0.8454     1
01102     0.7350     1
01103     0.9436     1
01104     0.8862     1
01105     0.8983     1
01106     0.8438     1
01107     0.8068     1
01108     0.8192     1
01109     0.6480     1
01110     0.7639     1
01111     0.8438     1
01112     0.7788     1
01113     0.7900     1
01114     0.8736     1
01115     0.8229     1
01116     0.8808     1
01117     0.8166     1
01118     0.8019     1
01119     0.8052     1
01120     0.7931     1
01121     0.6667     1
01122     0.8637     1
01123     0.8142     1
01124     0.9436     1
01125     0.8966     1
01126     0.8093     1
01127     0.7987     1
01128     0.8590     1
01129     0.7821     1
01130     0.8440     1
01131     0.8683     1
01132     0.9181     1
01133     0.9623     1
01134     0.9545     1
01135     0.7776     1
01136     0.8590     1
01137     0.8109     1
01138     0.8235     1
01139     0.7516     1
01140     0.8636     1
01141     0.8744     1
01142     0.9022     1
01143     0.8560     1
01144     0.9134     1
01145     0.9261     1
01146     0.8360     1
01147     0.7853     1
01148     0.7922     1
01149     0.9869     1
01150     0.9291     1
01151     0.8744     1
01152     0.8542     1
01153     0.8814     1
01154     0.9475     1
01155     0.7907     1
01156     0.9712     1
01157     0.9327     1
01158     0.9573     1
01159     0.9655     1
01160     0.7597     1
01161     0.8237     1
01162     0.9376     1
01163     0.9034     1
01164     0.7232     1
01165     0.8583     1
01166     0.8046     1
01167     0.8079     1
01168     0.9536     1
01169     0.8539     1
01170     0.8761     1
01171     0.9626     1
01172     0.9167     1
01173     0.8910     1
01174     0.8237     1
01175     0.7890     1
01176     0.8173     1
01177     0.9340     1
01178     0.7100     1
01179     0.8620     1
01180     0.7708     1
01181     0.9951     1
01182     0.9919     1
01183     0.8312     1
01184     0.8231     1
01185     0.8231     1
01186     0.8231     1
01187     0.8231     1
01188     0.8231     1
01189     0.8231     1
01190     0.8231     1
01191     0.8231     1
01192     0.8231     1
01193     0.8231     1
01194     0.8231     1
01195     0.8231     1
01196     0.8231     1
01197     0.8231     1
01198     0.9247     2
01199     0.9600     2
01200     0.9294     2
01201     0.9872     2
01202     0.9639     2
01203     0.9805     2
01204     0.9633     2
01205     0.9659     2
01206     0.9469     2
01207     0.9087     2
01208     0.9672     2
01209     0.9508     2
01210     0.9932     2
01211     0.9433     2
01212     0.9836     2
01213     0.9562     2
01214     0.9167     2
01215     0.9888     2
01216     0.9967     2
01217     0.9952     2
01218     0.9287     2
01219     0.9390     2
01220     0.9487     2
01221     0.9712     2
01222     0.9824     2
01223     0.9951     2
01224     0.9513     2
01225     0.9679     2
01226     0.9758     2
01227     0.9436     2
01228     0.9455     2
01229     0.8231     1
01230     0.9867     2
01231     0.9935     2
01232     0.9584     2
01233     0.9830     2
01234     0.8231     1
01235     0.9712     2
01236     0.9805     2
01237     0.9383     2
01238     0.9744     2
01239     0.8231     1
01240     0.8766     2
01241     0.9679     2
01242     0.9360     2
01243     0.8231     1
01244     0.9864     2
01245     0.9722     2
01246     0.9352     2
01247     0.8231     1
01248     0.9904     2
01249     0.9275     2
01250     0.8949     2
01251     0.9619     2
01252     0.9968     2
01253     0.8945     2
01254     0.9109     2
01255     0.7451     2
01256     0.8325     2
01257     0.8093     2
01258     0.8766     2
01259     0.8966     2
01260     0.9631     2
01261     0.9448     2
01262     0.7971     2
01263     0.7772     2
